년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2018-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,4,1570000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,17,944000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,그외 기타 종합 소매업,4,1350000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,기타 외국식 음식점업,181,3454100,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,기타 주점업,298,66556100,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,기타음식료품위주종합소매업,894,36505590,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,비알콜 음료점업,1385,25147190,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,빵 및 과자류 소매업,4548,58289760,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,서양식 음식점업,2696,76166160,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,수산물 소매업,862,106990080,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,슈퍼마켓,16190,638435970,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,442,34155800,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,여관업,487,51836600,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,욕탕업,128,5686000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,육류 소매업,520,32775180,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,일반유흥 주점업,537,118686000,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,일식 음식점업,942,83462108,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,전시 및 행사 대행업,95,877800,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,중식 음식점업,2163,68216423,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,차량용 가스 충전업,157,17239700,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,차량용 주유소 운영업,8001,558500830,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,체인화 편의점,18353,198947973,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",2063,43271750,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,한식 음식점업,18471,987337340,17485798.33,2020-12-15
2018-01,서귀포시,대정읍,화장품 및 방향제 소매업,220,7948960,17485798.33,2020-12-15
2018-01,서귀포시,대천동,건강보조식품 소매업,16,2429500,9229592.656,2020-12-15
2018-01,서귀포시,대천동,과실 및 채소 소매업,713,92103050,9229592.656,2020-12-15
2018-01,서귀포시,대천동,관광 민예품 및 선물용품 소매업,12,616500,9229592.656,2020-12-15
