읍면동명,업종명,연령대,1인당 이용금액
용담이동,문화레저,10_20,143938.29787234042
용담일동,문화레저,10_20,191687.4358974359
우도면,문화레저,10_20,725154.2857142857
이도이동,문화레저,10_20,847113.7662337662
이도일동,문화레저,10_20,242441.02564102566
이호이동,문화레저,10_20,90718.75
이호일동,문화레저,10_20,75927.27272727272
일도이동,문화레저,10_20,389644.1935483871
일도일동,문화레저,10_20,1870803.482352941
조천읍,문화레저,10_20,800427.2727272727
중문동,문화레저,10_20,114883.60655737705
추자면,문화레저,10_20,38000.0
토평동,문화레저,10_20,23562.5
표선면,문화레저,10_20,146904.2168674699
하효동,문화레저,10_20,25500.0
한경면,문화레저,10_20,51725.4
한림읍,문화레저,10_20,163895.94594594595
호근동,문화레저,10_20,71764.70588235294
화북이동,문화레저,10_20,102250.0
화북일동,문화레저,10_20,85193.54838709677
강정동,문화레저,30_40_50,605556.8421052631
건입동,문화레저,30_40_50,981764.3582887701
구좌읍,문화레저,30_40_50,264940.1098901099
남원읍,문화레저,30_40_50,376232.23529411765
내도동,문화레저,30_40_50,153142.1052631579
노형동,문화레저,30_40_50,1305328.8194444445
대정읍,문화레저,30_40_50,1090085.162679426
도남동,문화레저,30_40_50,1061358.3333333333
도두일동,문화레저,30_40_50,695269.7247706422
도련일동,문화레저,30_40_50,526324.875
동홍동,문화레저,30_40_50,875242.4870466321
법환동,문화레저,30_40_50,136857.14285714287
보목동,문화레저,30_40_50,283967.2727272727
봉개동,문화레저,30_40_50,129601.65289256198
삼도이동,문화레저,30_40_50,890940.0
삼도일동,문화레저,30_40_50,1107611.9424460432
삼양이동,문화레저,30_40_50,806023.6082474227
상예동,문화레저,30_40_50,275329.1095890411
상효동,문화레저,30_40_50,95415.0
색달동,문화레저,30_40_50,1298730.7211538462
서귀동,문화레저,30_40_50,3112740.4587155962
서호동,문화레저,30_40_50,272500.0
서홍동,문화레저,30_40_50,504608.51851851854
성산읍,문화레저,30_40_50,159446.3687150838
아라이동,문화레저,30_40_50,914628.8888888889
아라일동,문화레저,30_40_50,797839.1608391608
안덕면,문화레저,30_40_50,333058.36431226763
애월읍,문화레저,30_40_50,751623.3502538071
연동,문화레저,30_40_50,3117807.0
영평동,문화레저,30_40_50,73540.98360655738
오라삼동,문화레저,30_40_50,483318.68131868134
오라이동,문화레저,30_40_50,465361.1111111111
오라일동,문화레저,30_40_50,888251.8518518518
외도이동,문화레저,30_40_50,177925.1127819549
외도일동,문화레저,30_40_50,130711.76470588235
용담삼동,문화레저,30_40_50,144491.15044247787
용담이동,문화레저,30_40_50,468212.9411764706
용담일동,문화레저,30_40_50,444965.85365853657
우도면,문화레저,30_40_50,655763.7313432836
이도이동,문화레저,30_40_50,1098586.5328947369
이도일동,문화레저,30_40_50,599539.9156118144
이호이동,문화레저,30_40_50,86308.82352941176
이호일동,문화레저,30_40_50,375849.3147208122
일도이동,문화레저,30_40_50,1020755.7062146893
일도일동,문화레저,30_40_50,2283797.777777778
조천읍,문화레저,30_40_50,1202267.2162162163
중문동,문화레저,30_40_50,788266.1971830986
추자면,문화레저,30_40_50,83385.71428571429
토평동,문화레저,30_40_50,208431.29770992367
표선면,문화레저,30_40_50,1061814.5739910314
하효동,문화레저,30_40_50,39875.0
한경면,문화레저,30_40_50,80500.32894736843
한림읍,문화레저,30_40_50,727319.1105990784
호근동,문화레저,30_40_50,45000.0
화북이동,문화레저,30_40_50,406092.3728813559
화북일동,문화레저,30_40_50,382569.1780821918
강정동,문화레저,60_70,502700.0
건입동,문화레저,60_70,856690.4132231405
구좌읍,문화레저,60_70,90106.77966101695
남원읍,문화레저,60_70,229218.68686868687
내도동,문화레저,60_70,106483.33333333333
노형동,문화레저,60_70,948580.0
대정읍,문화레저,60_70,954858.2608695652
도남동,문화레저,60_70,964714.8148148148
도두일동,문화레저,60_70,447652.688172043
도련일동,문화레저,60_70,169462.60869565216
동홍동,문화레저,60_70,704227.8846153846
법환동,문화레저,60_70,106250.0
보목동,문화레저,60_70,45437.0
봉개동,문화레저,60_70,142479.45205479453
삼도이동,문화레저,60_70,913992.2843137255
삼도일동,문화레저,60_70,806154.1095890411
삼양이동,문화레저,60_70,209525.0
상예동,문화레저,60_70,64706.89655172414
상효동,문화레저,60_70,92775.0
색달동,문화레저,60_70,578031.9672131147
서귀동,문화레저,60_70,1598776.6666666667
서홍동,문화레저,60_70,56870.833333333336
성산읍,문화레저,60_70,129035.0
아라이동,문화레저,60_70,559752.6315789474
아라일동,문화레저,60_70,909048.0
안덕면,문화레저,60_70,272981.3043478261
애월읍,문화레저,60_70,299794.3396226415
연동,문화레저,60_70,1774886.8804347827
영평동,문화레저,60_70,84863.63636363637
오라삼동,문화레저,60_70,372888.8888888889
오라이동,문화레저,60_70,202750.0
오라일동,문화레저,60_70,840842.3376623377
외도이동,문화레저,60_70,67333.33333333333
외도일동,문화레저,60_70,125000.0
용담삼동,문화레저,60_70,370857.14285714284
용담이동,문화레저,60_70,255769.64285714287
용담일동,문화레저,60_70,314467.9487179487
우도면,문화레저,60_70,175542.37288135593
이도이동,문화레저,60_70,683542.7619047619
이도일동,문화레저,60_70,988148.9898989899
이호이동,문화레저,60_70,63214.28571428572
이호일동,문화레저,60_70,219847.4358974359
일도이동,문화레저,60_70,851438.8392857143
일도일동,문화레저,60_70,1815543.125
조천읍,문화레저,60_70,180711.9266055046
중문동,문화레저,60_70,339625.2252252252
추자면,문화레저,60_70,294692.3076923077
토평동,문화레저,60_70,130850.0
표선면,문화레저,60_70,214270.4347826087
하효동,문화레저,60_70,34000.0
한경면,문화레저,60_70,44687.5
한림읍,문화레저,60_70,327809.48039215687
화북이동,문화레저,60_70,170647.0588235294
화북일동,문화레저,60_70,249000.0
