읍면동명,업종명,연령대,1인당 이용금액
중문동,소매업,30_40_50,461029.8348623853
추자면,소매업,30_40_50,298001.51851851854
토평동,소매업,30_40_50,687617.9029126214
표선면,소매업,30_40_50,1191891.2729498164
하예동,소매업,30_40_50,195263.51351351352
하원동,소매업,30_40_50,129997.9674796748
하효동,소매업,30_40_50,412835.8689138577
한경면,소매업,30_40_50,485914.6623093682
한림읍,소매업,30_40_50,1198653.5612121213
해안동,소매업,30_40_50,276990.05263157893
호근동,소매업,30_40_50,693466.2269129287
화북이동,소매업,30_40_50,283346.4552238806
화북일동,소매업,30_40_50,593895.6013793104
회수동,소매업,30_40_50,642581.7275747508
회천동,소매업,30_40_50,211351.3253012048
강정동,소매업,60_70,501382.4537037037
건입동,소매업,60_70,806419.5767195767
구좌읍,소매업,60_70,273520.1225626741
남원읍,소매업,60_70,643457.4955156951
내도동,소매업,60_70,155944.44444444444
노형동,소매업,60_70,874283.8646288209
대정읍,소매업,60_70,584195.7692307692
대포동,소매업,60_70,118148.93617021276
도남동,소매업,60_70,1183699.0807799443
도두이동,소매업,60_70,160317.64285714287
도두일동,소매업,60_70,386966.9970238095
도련이동,소매업,60_70,516120.253164557
도련일동,소매업,60_70,151225.94594594595
도순동,소매업,60_70,194647.0588235294
도평동,소매업,60_70,95520.0
동홍동,소매업,60_70,652832.7313019391
법환동,소매업,60_70,308412.1212121212
보목동,소매업,60_70,275166.6666666667
봉개동,소매업,60_70,208791.37931034484
삼도이동,소매업,60_70,451205.5272727273
삼도일동,소매업,60_70,858279.4982078853
삼양삼동,소매업,60_70,121741.93548387097
삼양이동,소매업,60_70,260971.47963800904
삼양일동,소매업,60_70,1107464.1548387096
상예동,소매업,60_70,129560.9756097561
상효동,소매업,60_70,187125.0
색달동,소매업,60_70,247191.4798206278
서귀동,소매업,60_70,1512801.7827050998
서호동,소매업,60_70,247460.58394160584
서홍동,소매업,60_70,235515.96153846153
성산읍,소매업,60_70,743167.0689655172
신효동,소매업,60_70,150406.0606060606
아라이동,소매업,60_70,167660.36231884058
아라일동,소매업,60_70,454849.3855799373
안덕면,소매업,60_70,330713.0695443645
애월읍,소매업,60_70,409898.49256900215
연동,소매업,60_70,886076.0709939149
영평동,소매업,60_70,268607.14285714284
오등동,소매업,60_70,126328.20895522388
오라삼동,소매업,60_70,564512.5233644859
오라이동,소매업,60_70,562618.9427312776
오라일동,소매업,60_70,536304.1121495328
외도이동,소매업,60_70,397375.0
외도일동,소매업,60_70,444949.7091503268
용강동,소매업,60_70,118173.33333333333
용담삼동,소매업,60_70,650971.264367816
용담이동,소매업,60_70,983204.0389016018
용담일동,소매업,60_70,829692.7017994858
우도면,소매업,60_70,134087.22222222222
월평동,소매업,60_70,97581.3953488372
이도이동,소매업,60_70,1021767.9168591225
이도일동,소매업,60_70,1289960.7529411765
이호이동,소매업,60_70,203957.17857142858
